,verse,sentiment
Joshua 15:60,kiriath baal kiriath jearim rabbah town village,0.0
Joshua 15:61,wilderness beth arabah middin sekakah,0.0
Joshua 15:62,nibshan city salt en gedi town village,0.0
Joshua 15:63,judah dislodge jebusite live jerusalem day jebusite live people judah,0.0
Joshua 16:1,allotment joseph begin jordan east spring jericho go desert hill country bethel,0.0
Joshua 16:2,go bethel cross territory arkite ataroth,0.0
Joshua 16:3,descend westward territory japhletite far region low beth horon gezer end mediterranean sea,-0.2732
Joshua 16:4,manasseh ephraim descendant joseph receive inheritance,0.0
Joshua 16:5,territory ephraim accord clan boundary inheritance go ataroth addar east upper beth horon,0.0
Joshua 16:6,continue mediterranean sea mikmethath north curve eastward taanath shiloh pass janoah east,0.0
Joshua 16:7,go janoah ataroth naarah touch jericho come jordan,0.0
Joshua 16:8,tappuah border go west kanah ravine end mediterranean sea inheritance tribe ephraimite accord clan,0.0
Joshua 16:9,include town village set aside ephraimite inheritance manassite,0.0
Joshua 16:10,dislodge canaanites live gezer day canaanites live people ephraim require force labor,0.0
Joshua 17:1,allotment tribe manasseh joseph firstborn makir manasseh firstborn makir ancestor gileadite receive gilead bashan makirites great soldier,0.6249
Joshua 17:2,allotment rest people manasseh clan abiezer helek asriel shechem hepher shemida male descendant manasseh son joseph clan,0.0
Joshua 17:3,zelophehad son hepher son gilead son makir son manasseh son daughter name mahlah noah hoglah milkah tirzah,0.0
Joshua 17:4,go eleazar priest joshua son nun leader say lord command moses inheritance relative joshua give inheritance brother father accord lord command,0.0
Joshua 17:5,manasseh share consist tract land gilead bashan east jordan,0.296
Joshua 17:6,daughter tribe manasseh receive inheritance son land gilead belong rest descendant manasseh,0.0
Joshua 17:7,territory manasseh extend asher mikmethath east shechem boundary run southward include people live en tappuah,0.1779
Joshua 17:8,manasseh land tappuah tappuah boundary manasseh belong ephraimite,0.0
Joshua 17:9,boundary continue south kanah ravine town belong ephraim lie town manasseh boundary manasseh northern ravine end mediterranean sea,0.0
Joshua 17:10,south land belong ephraim north manasseh territory manasseh reach mediterranean sea border asher north issachar east,0.0258
Joshua 17:11,issachar asher manasseh beth shan ibleam people dor endor taanach megiddo surround settlement list naphotha,0.0
Joshua 17:12,manassite able occupy town canaanites determined live region,0.34
Joshua 17:13,israelites grow strong subject canaanites force labor drive completely,0.5106
Joshua 17:14,people joseph say joshua give allotment portion inheritance numerous people lord bless abundantly,0.4215
Joshua 17:15,numerous joshua answer hill country ephraim small forest clear land land perizzites rephaites,0.3818
Joshua 17:16,people joseph reply hill country canaanites live plain chariot fit iron beth shan settlement valley jezreel,0.3612
Joshua 17:17,joshua say tribe joseph ephraim numerous powerful allotment,0.4215
Joshua 17:18,forested hill country clear farth limit canaanites chariot fit iron strong drive,0.8126
Joshua 18:1,assembly israelites gather shiloh set tent meet country bring control,0.0
Joshua 18:2,seven israelite tribe receive inheritance,0.0
Joshua 18:3,joshua say israelites long wait begin possession land lord god ancestor give,0.2732
Joshua 18:4,appoint man tribe send survey land write description accord inheritance return,0.0
Joshua 18:5,divide land seven part judah remain territory south tribe joseph territory north,0.0
Joshua 18:6,write description seven part land bring cast lot presence lord god,0.2732
Joshua 18:7,levites portion priestly service lord inheritance gad reuben half tribe manasseh receive inheritance east jordan moses servant lord give,0.0
Joshua 18:8,man start way map land joshua instruct survey land write description return cast lot shiloh presence lord,0.0
Joshua 18:9,man leave go land write description scroll town town seven part return joshua camp shiloh,-0.0516
Joshua 18:10,joshua cast lot shiloh presence lord distribute land israelites accord tribal division,0.0
Joshua 18:11,lot come tribe benjamin accord clan allot territory lie tribe judah joseph,0.0
Joshua 18:12,north boundary begin jordan pass northern slope jericho head west hill country come wilderness beth aven,0.0
Joshua 18:13,cross south slope luz bethel go ataroth addar hill south low beth horon,-0.2732
Joshua 18:14,hill face beth horon south boundary turn south western come kiriath baal kiriath jearim town people judah western,0.0
Joshua 18:15,southern begin outskirt kiriath jearim west boundary come spring water nephtoah,0.0
Joshua 18:16,boundary go foot hill face valley ben hinnom north valley rephaim continue hinnom valley southern slope jebusite city en rogel,0.0
Joshua 18:17,curve north go en shemesh continue geliloth face pass adummim run stone bohan son reuben,0.0
Joshua 18:18,continue northern slope beth arabaha arabah,0.0
Joshua 18:19,go northern slope beth hoglah come northern bay dead sea mouth jordan south southern boundary,-0.6486
Joshua 18:20,jordan form boundary eastern boundary mark inheritance clan benjamin side,0.0
Joshua 18:21,tribe benjamin accord clan follow town jericho beth hoglah emek keziz,0.0
Joshua 18:22,beth arabah zemaraim bethel,0.0
Joshua 18:23,avvim parah ophrah,0.0
Joshua 18:24,kephar ammoni ophni geba town village,0.0
Joshua 18:25,gibeon ramah beeroth,0.0
Joshua 18:26,mizpah kephirah mozah,0.0
Joshua 18:27,rekem irpeel taralah,0.0
Joshua 18:28,zelah haeleph jebusite city jerusalem gibeah kiriath fourteen town village inheritance benjamin clan,0.0
Joshua 19:1,second lot come tribe simeon accord clan inheritance lie territory judah,0.0
Joshua 19:2,include beersheba moladah,0.0
Joshua 19:3,hazar shual balah ezem,0.0
Joshua 19:4,eltolad bethul hormah,0.0
Joshua 19:5,ziklag beth markaboth hazar susah,0.0
Joshua 19:6,beth lebaoth sharuhen thirteen town village,0.0
Joshua 19:7,ain rimmon ether ashan town village,0.0
Joshua 19:8,village town far baalath beer ramah negev inheritance tribe simeonite accord clan,0.0
Joshua 19:9,inheritance simeonite take share judah judah portion need simeonite receive inheritance territory judah,0.296
Joshua 19:10,lot come zebulun accord clan boundary inheritance go far sarid,0.0
Joshua 19:11,go west run maralah touch dabbesheth extend ravine near jokneam,0.1779
Joshua 19:12,turn east sarid sunrise territory kisloth tabor go daberath japhia,0.0
Joshua 19:13,continue eastward gath hepher eth kazin come rimmon turn neah,0.0
Joshua 19:14,boundary go north hannathon end valley iphtah el,0.0
Joshua 19:15,include kattath nahalal shimron idalah bethlehem town village,0.0
Joshua 19:16,town village inheritance zebulun accord clan,0.0
Joshua 19:17,fourth lot come issachar accord clan,0.0
Joshua 19:18,territory include jezreel kesulloth shunem,0.0
Joshua 19:19,hapharaim shion anaharath,0.0
Joshua 19:20,rabbith kishion ebez,0.0
Joshua 19:21,remeth en gannim en haddah beth pazzez,0.0
Joshua 19:22,boundary touch tabor shahazumah beth shemesh end jordan sixteen town village,0.0
Joshua 19:23,town village inheritance tribe issachar accord clan,0.0
Joshua 19:24,fifth lot come tribe asher accord clan,0.0
Joshua 19:25,territory include helkath hali beten akshaph,0.0
Joshua 19:26,allammelek amad mishal west boundary touch carmel shihor libnath,0.0
Joshua 19:27,turn east beth dagon touch zebulun valley iphtah el go north beth emek neiel pass kabul left,0.0
Joshua 19:28,go abdon b rehob hammon kanah far great sidon,0.6249
Joshua 19:29,boundary turn ramah go fortified city tyre turn hosah come mediterranean sea region akzib,0.0
Joshua 19:30,ummah aphek rehob town village,0.0
Joshua 19:31,town village inheritance tribe asher accord clan,0.0
Joshua 19:32,sixth lot come naphtali accord clan,0.0
Joshua 19:33,boundary go heleph large tree zaanannim pass adami nekeb jabneel lakkum end jordan,0.0
Joshua 19:34,boundary run west aznoth tabor come hukkok touch zebulun south asher west jordanc east,0.0
Joshua 19:35,fortified town ziddim zer hammath rakkath kinnereth,0.0
Joshua 19:36,adamah ramah hazor,0.0
Joshua 19:37,kedesh edrei en hazor,0.0
Joshua 19:38,iron migdal el horem beth anath beth shemesh nineteen town village,0.0
Joshua 19:39,town village inheritance tribe naphtali accord clan,0.0
Joshua 19:40,seventh lot come tribe dan accord clan,0.0
Joshua 19:41,territory inheritance include zorah eshtaol ir shemesh,0.0
Joshua 19:42,shaalabbin aijalon ithlah,0.0
Joshua 19:43,elon timnah ekron,0.0
Joshua 19:44,eltekeh gibbethon baalath,0.0
Joshua 19:45,jehud bene berak gath rimmon,0.0
Joshua 19:46,jarkon rakkon area face joppa,0.0
Joshua 19:47,territory danites lose go attack leshem take sword occupy settle leshem name dan ancestor,-0.7003
Joshua 19:48,town village inheritance tribe dan accord clan,0.0
Joshua 19:49,finish divide land allot portion israelites give joshua son nun inheritance,0.0
Joshua 19:50,lord command give town ask timnath serahd hill country ephraim build town settle,0.0
Joshua 19:51,territory eleazar priest joshua son nun head tribal clan israel assign lot shiloh presence lord entrance tent meeting finish divide land,0.0
Joshua 20:1,lord say joshua,0.0
Joshua 20:2,tell israelites designate city refuge instruct moses,0.0
Joshua 20:3,kill person accidentally unintentionally flee find protection avenger blood,-0.7964
Joshua 20:4,flee city stand entrance city gate state case elder city elder admit fugitive city provide place live,0.2023
Joshua 20:5,avenger blood come pursuit elder surrender fugitive fugitive kill neighbor unintentionally malice aforethought,-0.6908
Joshua 20:6,stay city stand trial assembly death high priest serve time home town flee,-0.5994
Joshua 20:7,set apart kedesh galilee hill country naphtali shechem hill country ephraim kiriath arba hebron hill country judah,0.0
Joshua 20:8,east jordan jericho designate bezer wilderness plateau tribe reuben ramoth gilead tribe gad golan bashan tribe manasseh,0.0
Joshua 20:9,israelites foreigner reside kill accidentally flee designate city kill avenger blood prior stand trial assembly,-0.9153
Joshua 21:1,family head levites approach eleazar priest joshua son nun head tribal family israel,0.0
Joshua 21:2,shiloh canaan say lord command moses town live pastureland livestock,0.0
Joshua 21:3,lord command israelites give levite follow town pastureland inheritance,0.0
Joshua 21:4,lot come kohathite accord clan levites descendant aaron priest allot thirteen town tribe judah simeon benjamin,0.0
Joshua 21:5,rest kohath descendant allot town clan tribe ephraim dan half manasseh,0.0
Joshua 21:6,descendant gershon allot thirteen town clan tribe issachar asher naphtali half tribe manasseh bashan,0.0
Joshua 21:7,descendant merari accord clan receive town tribe reuben gad zebulun,0.0
Joshua 21:8,israelites allot levite town pastureland lord command moses,0.0
Joshua 21:9,tribe judah simeon allot follow town,0.0
Joshua 21:10,town assign descendant aaron kohathite clan levites lot fall,0.0
Joshua 21:11,give kiriath arba hebron surround pastureland hill country judah arba forefather anak,0.0
Joshua 21:12,field village city give caleb son jephunneh possession,0.0
Joshua 21:13,descendant aaron priest give hebron city refuge accuse murder libnah,-0.7579
Joshua 21:14,jattir eshtemoa,0.0
Joshua 21:15,holon debir,0.0
Joshua 21:16,ain juttah beth shemesh pastureland town tribe,0.0
Joshua 21:17,tribe benjamin give gibeon geba,0.0
Joshua 21:18,anathoth almon pastureland town,0.0
Joshua 21:19,total number town priest descendant aaron come thirteen pastureland,0.1513
Joshua 21:20,rest kohathite clan levites allot town tribe ephraim,0.0
Joshua 21:21,hill country ephraim give shechem city refuge accuse murder gezer,-0.7579
Joshua 21:22,kibzaim beth horon pastureland town,0.0
Joshua 21:23,tribe dan receive eltekeh gibbethon,0.0
Joshua 21:24,aijalon gath rimmon pastureland town,0.0
Joshua 21:25,half tribe manasseh receive taanach gath rimmon pastureland town,0.0
Joshua 21:26,town pastureland give rest kohathite clan,0.0
Joshua 21:27,levite clan gershonite give half tribe manasseh golan bashan city refuge accuse murder eshterah pastureland town,-0.7579
Joshua 21:28,tribe issachar kishion daberath,0.0
Joshua 21:29,jarmuth en gannim pastureland town,0.0
Joshua 21:30,tribe asher mishal abdon,0.0
Joshua 21:31,helkath rehob pastureland town,0.0
Joshua 21:32,tribe naphtali kedesh galilee city refuge accuse murder hammoth dor kartan pastureland town,-0.7579
Joshua 21:33,total number town gershonite clan come thirteen pastureland,0.1513
Joshua 21:34,merarite clan rest levites give tribe zebulun jokneam kartah,0.0
Joshua 21:35,dimnah nahalal pastureland town,0.0
Joshua 21:36,tribe reuben bezer jahaz,0.0
Joshua 21:37,kedemoth mephaath pastureland town,0.0
Joshua 21:38,tribe gad ramoth gilead city refuge accuse murder mahanaim,-0.7579
Joshua 21:39,heshbon jazer pastureland town,0.0
Joshua 21:40,total number town allot merarite clan rest levites come,0.1513
Joshua 21:41,town levites territory hold israelites pastureland,0.0
Joshua 21:42,town pastureland surround true town,0.4215
Joshua 21:43,lord give israel land swear ancestor take possession settle,-0.0516
Joshua 21:44,lord give rest swear ancestor enemy withstand lord give enemy hand,-0.6124
Joshua 21:45,lord good promise israel fail fulfil,0.1779
Joshua 22:1,joshua summon reubenites gadite half tribe manasseh,0.0
Joshua 22:2,say moses servant lord command obey command,0.0
Joshua 22:3,long time day desert fellow israelites carry mission lord god give,0.2732
Joshua 22:4,lord god give rest promise return home land moses servant lord give jordan,0.5267
Joshua 22:5,careful commandment law moses servant lord give love lord god walk obedience command hold fast serve heart soul,0.9022
Joshua 22:6,joshua bless send away go home,0.4215
Joshua 22:7,half tribe manasseh moses give land bashan half tribe joshua give land west jordan fellow israelites joshua send home bless,0.4215
Joshua 22:8,say return home great wealth large herd livestock silver gold bronze iron great quantity clothing divide plunder enemy fellow israelites,0.836
Joshua 22:9,reubenite gadite half tribe manasseh leave israelites shiloh canaan return gilead land acquire accordance command lord moses,-0.0516
Joshua 22:10,come geliloth near jordan land canaan reubenites gadite half tribe manasseh build impose altar jordan,-0.296
Joshua 22:11,israelites hear build altar border canaan geliloth near jordan israelite,0.0
Joshua 22:12,assembly israel gather shiloh war,-0.5994
Joshua 22:13,israelites send phinehas son eleazar priest land gilead reuben gad half tribe manasseh,0.0
Joshua 22:14,send chief man tribe israel head family division israelite clan,0.0
Joshua 22:15,go gilead reuben gad half tribe manasseh say,0.0
Joshua 22:16,assembly lord say break faith god israel like turn away lord build altar rebellion,0.7096
Joshua 22:17,sin peor day cleanse sin plague fall community lord,-0.802
Joshua 22:18,turn away lord rebel lord today tomorrow angry community israel,-0.5994
Joshua 22:19,land possess defile come lord land lord tabernacle stand share land rebel lord build altar altar lord god,0.4019
Joshua 22:20,achan son zerah unfaithful regard devoted thing wrath come community israel die sin,-0.7003
Joshua 22:21,reuben gad half tribe manasseh reply head clan israel,0.0
Joshua 22:22,mighty god lord mighty god lord know let israel know rebellion disobedience lord spare day,0.4019
Joshua 22:23,build altar turn away lord offer burn offering grain offering sacrifice fellowship offering lord account,0.0
Joshua 22:24,fear day descendant lord god israel,-0.2732
Joshua 22:25,lord jordan boundary reubenite gadite share lord descendant cause stop fear lord,-0.4939
Joshua 22:26,say let ready build altar burn offering sacrifice,0.3612
Joshua 22:27,contrary witness generation follow worship lord sanctuary burn offering sacrifice fellowship offering future descendant able share lord,0.5267
Joshua 22:28,say descendant answer look replica lord altar ancestor build burn offering sacrifice witness,0.0
Joshua 22:29,far rebel lord turn away today build altar burn offering grain offering sacrifice altar lord god stand tabernacle,0.128
Joshua 22:30,phinehas priest leader community head clan israelites hear reuben gad manasseh pleased,0.4404
Joshua 22:31,phinehas son eleazar priest say reuben gad manasseh today know lord unfaithful lord matter rescue israelites lord hand,0.765
Joshua 22:32,phinehas son eleazar priest leader return canaan meeting reubenite gadites gilead report israelites,0.0
Joshua 22:33,glad hear report praise god talk go war devastate country reubenite gadites live,-0.0772
Joshua 22:34,reubenite gadites give altar witness lord god,0.2732
Joshua 23:1,long time pass lord give israel rest enemy joshua old man,-0.5423
Joshua 23:2,summon israel elder leader judge official say old,0.0
Joshua 23:3,see lord god nation sake lord god fight,0.1531
Joshua 23:4,remember allot inheritance tribe land nation remain nation conquer jordan mediterranean sea west,0.0
Joshua 23:5,lord god push sake drive possession land lord god promise,0.6705
Joshua 23:6,strong careful obey write book law moses turn aside right left,0.5994
Joshua 23:7,associate nation remain invoke name god swear serve bow,0.2263
Joshua 23:8,hold fast lord god,0.2732
Joshua 23:9,lord drive great powerful nation day able withstand,0.7845
Joshua 23:10,rout thousand lord god fight promise,0.2023
Joshua 23:11,careful love lord god,0.7845
Joshua 23:12,turn away ally survivor nation remain intermarry associate,0.3612
Joshua 23:13,sure lord god longer drive nation instead snare trap whip back thorn eye perish good land lord god give,0.7269
Joshua 23:14,way earth know heart soul good promise lord god give fail promise fulfil fail,0.7003
Joshua 23:15,good thing lord god promise come bring evil thing threaten lord god destroy good land give,-0.0516
Joshua 23:16,violate covenant lord god command serve god bow lord anger burn quickly perish good land give,-0.2023
Joshua 24:1,joshua assemble tribe israel shechem summon elder leader judge official israel present god,0.2732
Joshua 24:2,joshua say people lord god israel say long ago ancestor include terah father abraham nahor live euphrates river worship god,0.6597
Joshua 24:3,take father abraham land euphrates lead canaan give descendant give isaac,0.0
Joshua 24:4,isaac give jacob esau assign hill country seir esau jacob family go egypt,0.0
Joshua 24:5,send moses aaron afflict egyptians bring,0.0
Joshua 24:6,bring people egypt come sea egyptians pursue chariot horsemena far red,0.0
Joshua 24:7,cry lord help darkness egyptians bring sea cover see eye egyptians live wilderness long time,-0.34
Joshua 24:8,bring land amorites live east jordan fight give hand destroy take possession land,-0.4404
Joshua 24:9,balak son zippor king moab prepare fight israel send balaam son beor curse,-0.7269
Joshua 24:10,listen balaam bless deliver hand,0.7184
Joshua 24:11,cross jordan come jericho citizen jericho fight amorites perizzites canaanites hittites girgashite hivites jebusite give hand,0.1531
Joshua 24:12,send hornet ahead drive amorite king sword bow,0.0
Joshua 24:13,give land toil city build live eat vineyard olive grove plant,0.0
Joshua 24:14,fear lord serve faithfulness throw away god ancestor worship euphrates river egypt serve lord,0.4588
Joshua 24:15,serve lord undesirable choose day serve god ancestor serve euphrates god amorites land live household serve lord,0.0772
Joshua 24:16,people answer far forsake lord serve god,0.2732
Joshua 24:17,lord god bring parent egypt land slavery perform great sign eye protect entire journey nation travel,0.4588
Joshua 24:18,lord drive nation include amorites live land serve lord god,0.2732
Joshua 24:19,joshua say people able serve lord holy god jealous god forgive rebellion sin,-0.4215
Joshua 24:20,forsake lord serve foreign god turn bring disaster end good,-0.0258
Joshua 24:21,people say joshua serve lord,0.0
Joshua 24:22,joshua say witness choose serve lord yes witness reply,0.4019
Joshua 24:23,say joshua throw away foreign god yield heart lord god israel,0.8126
Joshua 24:24,people say joshua serve lord god obey,0.2732
Joshua 24:25,day joshua covenant people shechem reaffirm decree law,0.0
Joshua 24:26,joshua record thing book law god take large stone set oak near holy place lord,0.2732
Joshua 24:27,say people stone witness hear word lord say witness untrue god,0.2732
Joshua 24:28,joshua dismiss people inheritance,0.0
Joshua 24:29,thing joshua son nun servant lord die age,-0.5994
Joshua 24:30,bury land inheritance timnath serahc hill country ephraim north mount gaash,0.0
Joshua 24:31,israel serve lord lifetime joshua elder outlive experience lord israel,0.0
Joshua 24:32,joseph bone israelites bring egypt bury shechem tract land jacob buy piece silverd son hamor father shechem inheritance joseph descendant,0.0
Joshua 24:33,eleazar son aaron die bury gibeah allot son phinehas hill country ephraim,-0.5994
Judges 1:1,death joshua israelites ask lord fight canaanites,-0.7579
Judges 1:2,lord answer judah shall give land hand,0.4939
Judges 1:3,man judah say simeonite fellow israelites come territory allot fight canaanites turn simeonite go,-0.3818
Judges 1:4,judah attack lord give canaanites perizzites hand strike thousand man bezek,-0.1027
Judges 1:5,find adoni bezek fight put rout canaanites perizzites,-0.3818
Judges 1:6,adoni bezek flee chase catch cut thumb big toe,-0.2732
Judges 1:7,adoni bezek say seventy king thumb big toe cut pick scrap table god pay bring jerusalem die,-0.6486
Judges 1:8,man judah attack jerusalem take city sword set fire,-0.6705
Judges 1:9,judah go fight canaanites live hill country negev western foothill,-0.3818
Judges 1:10,advance canaanites live hebron call kiriath arba defeat sheshai ahiman talmai,-0.4588
Judges 1:11,advance people live debir call kiriath sepher,0.0
Judges 1:12,caleb say daughter aksah marriage man attack capture kiriath sepher,-0.4767
Judges 1:13,othniel son kenaz caleb young brother take caleb give daughter aksah marriage,0.0
Judges 1:14,day come othniel urge hima ask father field get donkey caleb ask,0.0
Judges 1:15,reply special favor give land negev spring water caleb give upper low spring,0.5106
Judges 1:16,descendant moses father law kenite go city palmsb people judah live inhabitant desert judah negev near arad,0.0
Judges 1:17,man judah go simeonite fellow israelites attack canaanites live zephath totally destroyedc city call,-0.4767
Judges 1:18,judah tooke gaza ashkelon ekron city territory,0.0
Judges 1:19,lord man judah take possession hill country unable drive people plain chariot fit iron,0.3612
Judges 1:20,moses promise hebron give caleb drive son anak,0.3182
Judges 1:21,benjamites drive jebusite live jerusalem day jebusite live benjamite,0.0
Judges 1:22,tribe joseph attack bethel lord,-0.4767
Judges 1:23,send man spy bethel call luz,0.0
Judges 1:24,spy see man come city say city treat,0.4019
Judges 1:25,show city sword spare man family,0.0
Judges 1:26,go land hittites build city call luz day,0.0
Judges 1:27,manasseh drive people beth shan taanach dor ibleam megiddo surround settlement canaanites determined live land,0.34
Judges 1:28,israel strong press canaanites force labor drive completely,0.5106
Judges 1:29,ephraim drive canaanites live gezer canaanites continue live,0.0
Judges 1:30,zebulun drive canaanites live kitron nahalol canaanites live zebulun subject force labor,0.0
Judges 1:31,asher drive live akko sidon ahlab akzib helbah aphek rehob,0.0
Judges 1:32,asherites live canaanite inhabitant land drive,0.0
Judges 1:33,naphtali drive live beth shemesh beth anath naphtalite live canaanite inhabitant land live beth shemesh beth anath force laborer,0.0
Judges 1:34,amorites confine danite hill country allow come plain,0.2263
Judges 1:35,amorites determine hold mount heres aijalon shaalbim power tribe joseph increase press force labor,0.3182
Judges 1:36,boundary amorites scorpion pass sela,0.0
Judges 2:1,angel lord go gilgal bokim say bring egypt lead land swear ancestor say break covenant,-0.0516
Judges 2:2,shall covenant people land shall break altar disobey,0.0
Judges 2:3,say drive trap god snare,-0.0516
Judges 2:4,angel lord speak thing israelites people weep aloud,-0.5719
Judges 2:5,call place offer sacrifice lord,0.0
Judges 2:6,joshua dismiss israelites go possession land inheritance,0.0
Judges 2:7,people serve lord lifetime joshua elder outlive see great thing lord israel,0.6249
Judges 2:8,joshua son nun servant lord die age,-0.5994
Judges 2:9,bury land inheritance timnath heresb hill country ephraim north mount gaash,0.0
Judges 2:10,generation gather ancestor generation grow know lord israel,0.0
Judges 2:11,israelites evil eye lord serve baal,-0.6597
Judges 2:12,forsake lord god ancestor bring egypt follow worship god people arouse lord anger,0.1779
Judges 2:13,forsake serve baal ashtoreth,0.0
Judges 2:14,anger israel lord give hand raider plunder sell hand enemy long able resist,-0.2023
Judges 2:15,israel go fight hand lord defeat swear great distress,-0.2263
Judges 2:16,lord raise judge c save hand raider,0.7506
Judges 2:17,listen judge prostitute god worship quickly turn way ancestor obedient lord command,0.5106
Judges 2:18,lord raise judge judge save hand enemy long judge live lord relent groaning oppress afflict,0.4404
Judges 2:19,judge die people return way corrupt ancestor follow god serve worship refuse evil practice stubborn way,-0.872
Judges 2:20,lord angry israel say nation violate covenant ordain ancestor listen,-0.7579
Judges 2:21,longer drive nation joshua leave die,-0.6249
Judges 2:22,use test israel way lord walk ancestor,0.0
Judges 2:23,lord allow nation remain drive give hand joshua,0.6249
Judges 3:1,nation lord leave test israelites experience war canaan,-0.6249
Judges 3:2,teach warfare descendant israelites previous battle experience,-0.5859
Judges 3:3,ruler philistines canaanites sidonians hivites live lebanon mountain mount baal hermon lebo hamath,0.0
Judges 3:4,leave test israelites obey lord command give ancestor moses,-0.0516
Judges 3:5,israelites live canaanites hittites amorites perizzites hivites jebusite,0.0
Judges 3:6,take daughter marriage give daughter son serve god,0.2732
Judges 3:7,israelites evil eye lord forget lord god serve baal asherah,-0.6369
Judges 3:8,anger lord burn israel sell hand cushan rishathaim king aram naharaim israelites subject year,-0.128
Judges 3:9,cry lord raise deliverer othniel son kenaz caleb young brother save,0.0258
Judges 3:10,spirit lord come israel judgeb go war lord give cushan rishathaim king aram hand othniel overpower,0.0
Judges 3:11,land peace year othniel son kenaz die,-0.1027
Judges 3:12,israelites evil eye lord evil lord give eglon king moab power israel,-0.8689
Judges 3:13,get ammonites amalekites join eglon come attack israel take possession city,-0.2263
Judges 3:14,israelites subject eglon king moab eighteen year,0.0
Judges 3:15,israelites cry lord give deliverer ehud left handed man son gera benjamite israelites send tribute eglon king moab,-0.4767
Judges 3:16,ehud double edged sword cubitd long strap right thigh clothing,0.0
Judges 3:17,present tribute eglon king moab fat man,0.0
Judges 3:18,ehud present tribute send way carry,0.0
Judges 3:19,reach stone image near gilgal go eglon say majesty secret message king say attendant leave leave,-0.0772
Judges 3:20,ehud approach sit upper room palacee say message god king rise seat,0.2732
Judges 3:21,ehud reach left hand draw sword right thigh plunge king belly,0.5106
Judges 3:22,handle sink blade bowel discharge ehud pull sword fat close,0.0
Judges 3:23,ehud go porchf shut door upper room lock,0.0
Judges 3:24,go servant come find door upper room lock say relieve inner room palace,0.3612
Judges 3:25,wait point embarrassment open door room take key unlock see lord fall floor dead,-0.802
Judges 3:26,wait ehud get away pass stone image escape seirah,0.1779
Judges 3:27,arrive blow trumpet hill country ephraim israelites go hill lead,0.0
Judges 3:28,follow order lord give moab enemy hand follow take possession ford jordan lead moab allow cross,0.1531
Judges 3:29,time strike thousand moabites vigorous strong escape,0.5423
Judges 3:30,day moab subject israel land peace eighty year,0.5423
Judges 3:31,ehud come shamgar son anath strike philistine oxgoad save israel,0.4019
Judges 4:1,israelites evil eye lord ehud dead,-0.8658
Judges 4:2,lord sell hand jabin king canaan reign hazor sisera commander army base harosheth haggoyim,0.4939
Judges 4:3,chariot fit iron cruelly oppress israelites year cry lord help,-0.4019
Judges 4:4,deborah prophet wife lappidoth leadinga israel time,0.0
Judges 4:5,hold court palm deborah ramah bethel hill country ephraim israelites go dispute decide,-0.4019
Judges 4:6,send barak son abinoam kedesh naphtali say lord god israel command thousand man naphtali zebulun lead mount tabor,0.2732
Judges 4:7,lead sisera commander jabin army chariot troop kishon river hand,0.4939
Judges 4:8,barak say will,0.0
Judges 4:9,certainly say deborah course take honor lord deliver sisera hand woman deborah go barak kedesh,0.8316
Judges 4:10,barak summon zebulun naphtali thousand man go command deborah go,0.0
Judges 4:11,heber kenite leave kenite descendant hobab moses brother law b pitch tent great tree zaanannim near kedesh,0.5994
Judges 4:12,tell sisera barak son abinoam go mount tabor,0.0
Judges 4:13,sisera summon harosheth haggoyim kishon river man chariot fit iron,0.3612
Judges 4:14,deborah say barak day lord give sisera hand lord go ahead barak go mount tabor thousand man follow,0.4939
Judges 4:15,barak advance lord route sisera chariot army sword sisera get chariot flee foot,0.0
Judges 4:16,barak pursue chariot army far harosheth haggoyim sisera troop fall sword man leave,-0.0516
Judges 4:17,sisera flee foot tent jael wife heber kenite alliance jabin king hazor family heber kenite,0.0
Judges 4:18,jael go meet sisera say come lord come right afraid enter tent cover blanket,0.0
Judges 4:19,thirsty say water open skin milk give drink cover,0.0
Judges 4:20,stand doorway tent tell come ask,0.0
Judges 4:21,jael heber wife pick tent peg hammer go quietly lie fast asleep exhausted drive peg temple ground die,-0.7506
Judges 4:22,barak come pursuit sisera jael go meet come say man look go lie sisera tent peg temple dead,-0.6486
Judges 4:23,day god subdue jabin king canaan israelites,0.2732
Judges 4:24,hand israelites press hard hard jabin king canaan destroy,-0.2732
Judges 5:1,day deborah barak son abinoam sing song,0.0
Judges 5:2,prince israel lead people willingly offer praise lord,0.5574
Judges 5:3,hear king listen ruler sing toa lord praise lord god israel song,0.6908
Judges 5:4,lord go seir march land edom earth shake heavens pour cloud pour water,0.25
Judges 5:5,mountain quake lord sinai lord god israel,0.2732
Judges 5:6,day shamgar son anath day jael highway abandon traveler take winding path,-0.4404
Judges 5:7,villager israel fight hold deborah arise arise mother israel,-0.3818
Judges 5:8,god choose new leader war come city gate shield spear see thousand israel,-0.4215
Judges 5:9,heart israel prince willing volunteer people praise lord,0.8316
Judges 5:10,ride white donkey sit saddle blanket walk road consider,0.0
Judges 5:11,voice singersb watering place recite victory lord victory villager israel people lord go city gate,0.0
Judges 5:12,wake wake deborah wake wake break song arise barak captive captive son abinoam,0.0
Judges 5:13,remnant noble come people lord come mighty,0.4588
Judges 5:14,come ephraim root amalek benjamin people follow makir captain come zebulun bear staff,0.0
Judges 5:15,prince issachar deborah yes issachar barak send command valley district reuben search heart,0.7845
Judges 5:16,stay sheep pensdto hear whistling flock district reuben search heart,0.6369
Judges 5:17,gilead stay jordan dan linger ship asher remain coast stay cove,0.0
